Place (as appears on Bio),Keyword Repetitions,Latitude,Longitude
"Manhattan, NY",7523,40.7142,-74.0064
"Los Angeles, CA",6698,33.9442368,-118.3975983
"California, USA",4382,37.69964945,-123.01183239
"Chicago, IL",3325,41.87864,-87.64024999999999
"Houston, TX",2876,29.73222,-95.38751999999999
"Cuauhtémoc, Distrito Federal",2709,19.4271,-99.1276
"San Francisco, CA",2328,37.7749295,-122.4194155
"Toronto, Ontario",2290,43.7315236,-79.6083704
"Florida, USA",2252,28.35272725,-81.60341115999999
"Atlanta, GA",2133,33.84630026,-84.37463111
"Brooklyn, NY",1959,40.70276865,-73.98976266
"Washington, DC",1902,38.89499044,-77.02704246
"Philadelphia, PA",1827,39.87879931,-75.23985575
"San Diego, CA",1707,32.715738,-117.1610838
"Boston, MA",1656,42.34872656,-71.08208571
"Dallas, TX",1633,32.86634223,-96.80935185
"Orlando, FL",1527,28.5416658,-81.3756862
"Paradise, NV",1469,36.1096802,-115.174166
"Austin, TX",1439,30.26960519,-97.74361687
"Phoenix, AZ",1387,33.46889822,-112.09379298
"Georgia, USA",1313,33.94250189,-84.15044189
"Miami, FL",1274,25.7616798,-80.1917902
"Monterrey, Nuevo León",1227,25.68731473,-100.30841591
"Nashville, TN",1224,36.166011,-86.784297
"Texas, USA",1204,30.97560275,-96.67879089
"San Antonio, TX",1172,29.639304,-98.455535
"New York, USA",1165,43.1579526,-77.60702276000001
"Queens, NY",1126,40.7390272,-73.86677616
"Charlotte, NC",1092,35.1523851,-80.83212519999999
"Miguel Hidalgo, Distrito Federal",1069,19.45217229,-99.21219188000001
"Pennsylvania, USA",1040,40.05618658,-75.52164495
"Denver, CO",1027,39.7392,-104.984
"Benito Juárez, Distrito Federal",962,19.39349166,-99.17240418999999
"Baltimore, MD",876,39.2963369,-76.62105390000001
"Coyoacán, Distrito Federal",873,19.34446564,-99.14465588
"South Carolina, USA",860,33.3809044,-79.33528990000001
"Indianapolis, IN",858,39.76690667,-86.15650321
"Columbus, OH",845,40.0480476,-83.025396
"Minneapolis, MN",775,44.97356663,-93.23013048
"North Carolina, USA",714,36.000632,-77.8481628
"New Orleans, LA",709,29.9647222,-90.07055560000001
"Guadalajara, Jalisco",706,20.65679,-103.32587
"San Jose, CA",704,37.36294444,-121.92911111
"Las Vegas, NV",689,36.1596617,-115.3319221
"Kentucky, USA",651,38.02873,-84.4796999
"Oklahoma City, OK",644,35.47311888,-97.51731091000001
"Miami Beach, FL",641,25.78444509,-80.13123804999999
"St Louis, MO",635,38.6318607,-90.26340351
"Cleveland, OH",620,41.42052529,-81.73344315
"Tampa, FL",618,27.950575,-82.45717759999999
"Virginia, USA",613,36.65448294,-80.19808045000001
"Milwaukee, WI",611,43.0317747,-87.903824
"Bronx, NY",610,40.8175,-73.92722222
"Colorado, USA",606,39.75941,-104.81
"Anaheim, CA",604,33.8070393,-117.91728605
"Pittsburgh, PA",599,40.4840337,-80.0155012
"Montréal, Québec",596,45.5088889,-73.5541667
"Iztacalco, Distrito Federal",579,19.40544098,-99.09467644
"Detroit, MI",564,42.3314,-83.0458
"Memphis, TN",558,35.14414333,-90.04617767000001
"Sacramento, CA",557,38.4756088,-121.4312363
"Kansas City, MO",543,39.0763,-94.55540000000001
"Missouri, USA",521,38.9484,-92.3338
"Álvaro Obregón, Distrito Federal",514,19.37729626,-99.25481360000001
"Long Beach, CA",513,33.7700504,-118.1937395
"Richmond, VA",505,37.55344799,-77.48122624
"Mérida, Yucatán",503,20.96923927,-89.59420736
"Fort Worth, TX",488,32.72791305,-97.31947022
"Oakland, CA",478,37.8044,-122.271
"Benito Juárez, Quintana Roo",474,21.13435145,-86.749821
"Raleigh, NC",469,35.8188,-78.6446
"Ottawa, Ontario",462,45.41920471,-75.69677452000001
"Arizona, USA",459,33.4366,-112.593
"Louisville, KY",448,38.2289,-85.7495
"Santa Monica, CA",444,34.01122614,-118.49943638
"Tlalpan, Distrito Federal",436,19.29496249,-99.14362907
"Wisconsin, USA",432,43.07453,-89.38412
"Ohio, USA",431,41.55721729,-82.80303437000001
"El Paso, TX",419,31.7819557,-106.334928
"Cincinnati, OH",414,39.13318651,-84.50895396
"Fort Lauderdale, FL",397,26.1074983,-80.1068796
"Venustiano Carranza, Distrito Federal",395,19.41172171,-99.09216676
"Hermosillo, Sonora",392,29.0616988,-110.969433
"Michigan, USA",389,42.2192056,-86.051408
"Omaha, NE",383,41.257969,-96.041687
"Arlington, VA",379,38.8799697,-77.1067698
"New Jersey, USA",378,40.1054,-74.3536
"Zapopan, Jalisco",377,20.71567841,-103.38068084
"Scottsdale, AZ",369,33.580949,-111.885247
"Indiana, USA",369,39.165325,-86.52638570000001
"West Hollywood, CA",361,34.08273707,-118.38588341
"Albuquerque, NM",354,35.1071069,-106.572767
"Tennessee, USA",349,35.03625899,-85.58264765
"Tulsa, OK",349,36.17715,-95.94032
"Palo Alto, CA",347,37.4418834,-122.1430195
"Nevada, USA",343,36.1146528,-115.3097889
"Salt Lake City, UT",335,40.7640444,-111.8539064
"Kansas, USA",335,38.5347348,-99.0531508
"Tucson, AZ",335,32.2217429,-110.926479
"Querétaro, Querétaro Arteaga",330,20.5928297,-100.38392678